Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Rerata R I;Rerata G I;Rerata B I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Rerata R P;Rerata G P;Rerata B P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
41610;841;0.937478878;82.79501623;0.739291288;56.64455439;3.837232029;38.75010388;3.0070093;0.001639828;316.0770169;0.333383553;87996;1102;0.971322604;98.65284036;0.910562176;73.1154296;51.68123548;68.30441373;3.315980123;0.000758574;516.4994469;0.33182803;0.320180366;0.583217753;0.268492043;0.472862403;0.763157895;3
32876;692;0.902343964;82.43444816;0.86273347;49.96767677;2.774550382;31.10011497;2.972955537;0.001988332;332.1623783;0.348214842;64705;1234;0.906778592;94.93516097;0.53397065;56.33514002;42.97900961;52.80997783;3.272246205;0.000997811;1109.503898;0.351497294;0.269984397;0.494992847;0.410777658;0.508090565;0.560777958;3
38382;662;0.971179879;95.62769159;1.10057967;68.4209327;8.071188836;52.40957428;2.991027284;0.001351594;212.6654644;0.359882575;54940;2415;0.92733564;72.07261875;0.11837616;29.56468822;20.67072072;27.45786963;3.275811288;0.000768891;1050.835255;0.363797167;0.33900371;0.491827637;0.69985497;0.698616673;0.274120083;3
34843;730;0.905436308;91.19472126;0.821636426;54.85234997;4.949709023;43.41557073;2.965697624;0.001612327;330.3524027;0.353701766;59420;2036;0.829089285;84.10682249;0.18013038;40.31119308;30.24826254;36.58495624;3.269286991;0.000877315;1599.130934;0.351646575;0.266103041;0.499316005;0.359534502;0.586385056;0.358546169;3
41830;968;0.852351455;75.58289006;0.56097953;60.06980344;4.688653911;34.0472847;2.976755466;0.001730217;269.0535964;0.329290575;68042;1426;0.87353164;83.12414986;0.420482459;50.44340942;33.94754951;45.76357652;3.317699974;0.0007602;810.6269607;0.345429143;0.390045131;0.738931298;0.465485483;0.61476735;0.678821879;3
43135;826;0.954293047;70.2700908;0.794473785;43.81509802;2.178066601;24.05332906;2.899710003;0.002303922;251.6226678;0.350362786;81184;2393;0.769370735;81.8711469;0.178153727;48.55422191;35.09839025;43.06206788;3.223534532;0.000993125;1580.901679;0.346684257;0.282147553;0.528132992;0.480985582;0.531323906;0.345173422;3
42808;1034;0.749269249;82.45106777;0.503145653;60.35169766;4.686643906;34.99203367;3.020636689;0.001528602;276.2232468;0.297511877;51956;3176;0.717802769;57.92831263;0.064726867;18.83120052;14.38698532;17.54175161;3.317576362;0.000942223;1943.697169;0.283342598;0.350485922;0.738571429;0.242713064;0.823927939;0.325566751;3
49595;1489;0.845580713;82.18454492;0.281098393;69.18853865;4.678715603;41.87949102;3.038609591;0.0016582;545.3271028;0.314917336;83442;1349;0.95922473;86.33629701;0.576196571;54.49564354;34.36387338;49.11259503;3.330608258;0.000762452;514.9415778;0.338595352;0.417101191;1.078985507;0.790260077;0.594364948;1.103780578;3
26013;696;0.871136265;81.07348696;0.674810491;63.9560575;5.944370192;32.05738216;2.944040053;0.001881389;246.932;0.325818801;28090;2003;0.711860112;58.76735947;0.08798319;19.2164751;14.59039473;18.67138911;3.24715213;0.001268051;1586.292453;0.309511831;0.38630491;0.670520231;0.727518082;0.926059096;0.347478782;3
45919;1152;0.96525267;71.41436852;0.434807801;49.22689159;2.785554268;30.3660292;2.966429024;0.001844501;273.2737536;0.328235884;103842;1244;0.955906179;93.41591057;0.843222424;78.43529219;56.88865578;69.88426772;3.270975735;0.000847291;906.4560234;0.334099429;0.326572268;0.768;0.35078764;0.442200651;0.926045016;3
