Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
25915;1443;0.742465047;72.86773858;0.156396999;3.00435679;0.00194518;611.1982443;0.322077416;67061;1618;0.863209247;97.69194945;0.321901392;3.296037036;0.000782934;815.249424;0.357009718;0.252317249;1.125585023;0.183409914;0.386439212;0.89184178;4
24961;654;0.984615991;89.32792429;0.73335853;2.870138599;0.002534499;278.0543559;0.362472797;31715;1300;0.847269716;74.12248156;0.235823931;3.253277533;0.001364121;1240.682347;0.341036281;0.5114435;0.739819005;0.840509832;0.787040832;0.503076923;4
23103;520;0.973700847;86.41185387;1.073671821;2.794106305;0.003111738;284.7061169;0.375537966;29522;867;0.937891159;71.87580209;0.493534418;3.178616588;0.001636642;913.846015;0.353418896;0.51414265;0.613207547;0.699412763;0.782568932;0.599769319;4
29383;561;0.988827192;88.37198579;1.173222212;2.799107035;0.00315185;349.5644302;0.385823144;49518;1700;0.909989709;92.44399979;0.215315412;3.144748857;0.001401508;1448.444753;0.376417696;0.380372307;0.504496403;0.886378944;0.593380185;0.33;4
50711;1309;0.885642432;87.01996365;0.371905624;3.059181198;0.001525709;552.4823018;0.32112027;121015;1876;0.914438786;103.5927132;0.432099139;3.340101599;0.000717292;1009.75174;0.33138444;0.296259296;0.790458937;0.19845745;0.419047226;0.697761194;4
23725;877;0.816245785;82.02490267;0.387629569;2.939548405;0.002705447;500.8770092;0.359695212;49824;1638;0.814730026;102.3080044;0.233356907;3.29165122;0.0008835;965.7422244;0.359216011;0.295336852;0.772007042;0.574143648;0.47617614;0.535409035;4
32445;1957;0.758840864;90.391474;0.106457433;3.101707406;0.001466701;988.85088;0.343283636;51595;1062;0.844449173;97.03403125;0.574868414;3.341070997;0.000705347;596.8083286;0.350276493;0.4008822;1.719683656;0.374509543;0.628840004;1.842749529;4
28889;1194;0.755742165;75.22108392;0.254644159;2.99797201;0.002043436;535.9222539;0.328583185;87009;1465;0.900183122;103.4940548;0.509446745;3.315931;0.000799475;863.3987662;0.314127575;0.227946282;0.838483146;0.867665589;0.332023124;0.815017065;4
29528;672;0.969689009;87.15097135;0.821684983;2.836107021;0.00278864;357.9841563;0.384483854;42672;1037;0.929106427;79.04788122;0.498649456;3.231906028;0.001149198;907.6129589;0.361998798;0.408268234;0.624535316;0.40698418;0.691976003;0.648023144;4
24851;803;0.784908878;78.87940956;0.484309115;2.939788065;0.002287464;375.8598222;0.35197516;69513;1307;0.862765297;105.9625188;0.511357607;3.271797855;0.000905139;1021.336055;0.337762537;0.246537698;0.632283465;0.494464427;0.357501475;0.614384086;4
24851;1177;0.76774074;86.29442016;0.22542434;3.030239706;0.002028664;612.087268;0.331689545;52897;991;0.83725605;105.7149336;0.676851814;3.303263031;0.000877466;714.8511232;0.361630516;0.300917853;1.023478261;0.804457486;0.4697998;1.187689203;4
27655;1047;0.637300088;81.1696098;0.317022556;3.014175663;0.001877461;514.8014023;0.316911767;77419;1465;0.925931684;105.3089543;0.453296298;3.310188743;0.000841641;912.1290024;0.328766518;0.248011336;0.783682635;0.349699795;0.357212054;0.714675768;4
33119;1224;0.748164547;84.62103782;0.277794884;3.142238855;0.001389649;795.213275;0.333150753;54934;1234;0.840522056;92.90326199;0.453336584;3.387165546;0.000631521;692.8205587;0.342295211;0.345948148;0.988691438;0.646474779;0.602887101;0.991896272;4
25360;538;0.981576095;89.94778689;1.101018362;2.847481248;0.0025862;260.1570804;0.344022233;28292;1140;0.924091978;55.70489369;0.273567065;3.145324074;0.001811812;1152.613132;0.31818575;0.548727713;0.625581395;0.693458438;0.896366464;0.471929825;4
25698;1023;0.78416893;79.48190843;0.308572999;3.005122171;0.00190568;410.880568;0.347696894;46810;1499;0.815618902;94.56242343;0.26178529;3.326503916;0.000744935;872.4476651;0.355713905;0.309857117;0.888020833;0.934499204;0.54898526;0.68245497;4
28754;1230;0.74165592;82.61965304;0.238834966;3.050933457;0.001915701;599.0723238;0.315396873;73291;1466;0.843443236;105.3134007;0.42854119;3.350824904;0.000812619;1339.492059;0.308663812;0.260429309;0.922038981;0.450090766;0.392326479;0.839017735;4
25881;836;0.813919114;76.29947076;0.465348547;2.963481105;0.002274185;421.7918533;0.345956509;58913;1658;0.80825639;100.9033482;0.269309672;3.255593007;0.000993699;1139.419646;0.339805225;0.255271931;0.656200942;0.627840519;0.439308811;0.504221954;4
29930;596;0.987072093;88.27131751;1.058824694;2.823576299;0.00292348;357.9114102;0.394936491;46415;1071;0.926003511;86.24084696;0.508498033;3.269252387;0.001013597;942.1277444;0.374482535;0.395021645;0.540834846;0.814942598;0.644834644;0.556489262;4
26209;911;0.790761525;78.60297511;0.39684742;2.992001659;0.002077703;469.7850222;0.327249243;70807;1508;0.874840926;104.6401507;0.391276149;3.29239779;0.000868638;910.9023463;0.331546112;0.244270469;0.694359756;0.470839083;0.370147019;0.604111406;4
25880;1190;0.8943258;77.1788722;0.229657278;2.967974967;0.002163531;514.5129896;0.352578857;63835;1326;0.912463014;100.9754505;0.45622773;3.319020999;0.000752686;674.1546693;0.359718689;0.262509256;0.947452229;0.339786977;0.405420224;0.897435897;4
25258;1295;0.645489394;73.14237841;0.189264554;2.994525639;0.001973233;455.0480581;0.321676801;58923;1598;0.828081961;96.18697748;0.289962052;3.301328367;0.000788807;824.8122085;0.351357357;0.265761785;1.049432739;0.753152132;0.428661134;0.810387985;4
31895;708;0.936380718;82.61689396;0.799587424;2.965723622;0.001684349;187.1944324;0.335951482;37621;2223;0.788154945;59.79738977;0.095666806;3.190600887;0.001195904;1047.06856;0.335816551;0.465321545;0.675572519;0.535183966;0.847797773;0.318488529;4
30669;946;0.842740163;71.84719253;0.430652732;3.018083106;0.0015677;330.5451684;0.332014747;77982;1775;0.900568182;95.05968735;0.311033751;3.267660443;0.000817117;728.5117164;0.349869917;0.278265209;0.712349398;0.292188793;0.393283065;0.532957746;4
29735;1198;0.808126104;77.73558788;0.26035395;3.018134861;0.002089529;541.5363219;0.349598373;76044;1497;0.857355461;103.8385692;0.426413766;3.307660402;0.000845258;957.8151782;0.336923749;0.23503885;0.841292135;0.79699719;0.391023618;0.800267201;4
29413;1046;0.761107517;76.37872859;0.337820358;2.983715524;0.002197034;506.2430822;0.337499691;91302;1316;0.937026622;104.2107378;0.66248855;3.291445837;0.000841978;666.3659094;0.336721418;0.229674225;0.730446927;0.250278205;0.322150665;0.794832827;4
50855;1229;0.765462017;91.23660665;0.423096816;3.044394981;0.001576003;432.5745722;0.336103622;95882;2304;0.875802665;99.49699631;0.226977077;3.348579372;0.000710466;1233.656365;0.333028129;0.395752595;0.857043236;0.371712834;0.530391523;0.533420139;4
28243;597;0.962873312;78.85385136;0.995799784;2.894142673;0.002440962;328.1989468;0.376563715;37300;2511;0.823090672;61.59384292;0.074340465;3.208319113;0.001207077;1880.976286;0.372252721;0.33143226;0.511130137;0.622749805;0.757184987;0.237753883;4
30712;1083;0.81990496;77.21792942;0.32904936;3.016418141;0.002114519;657.6665985;0.340376369;86671;1303;0.921149963;103.7129734;0.641497311;3.29455013;0.000808311;659.2595191;0.341988381;0.248262036;0.769176136;0.360643983;0.354351513;0.831158864;4
28803;1325;0.767466027;78.6515277;0.206165424;3.005222757;0.002001616;517.0262492;0.339636072;77132;1577;0.889621923;102.5478148;0.389745464;3.294130362;0.000823578;718.0729318;0.330222564;0.265269847;1.002269289;0.28983441;0.373424778;0.840202917;4
27901;925;0.920096293;80.67658217;0.409775669;2.974816474;0.002090346;515.3304858;0.330285833;78958;2004;0.87880508;106.01245;0.247064626;3.29209424;0.000887187;1738.668489;0.325872199;0.247316403;0.688244048;0.527138352;0.35336508;0.461576846;4
45046;1373;0.851724399;85.76023226;0.300279042;3.062194695;0.001347866;447.7311886;0.337663586;89412;2028;0.884312969;94.36068075;0.273193129;3.333680797;0.000708129;947.8651858;0.34898608;0.333585118;0.931478969;0.641032636;0.503802622;0.677021696;4
27752;1108;0.753679865;68.40509786;0.284069515;3.031400311;0.00175301;425.7992219;0.312360522;57271;2695;0.693244405;88.00116598;0.099089375;3.301380896;0.00083087;1097.567473;0.349219585;0.206345312;0.754768392;0.414636165;0.484573344;0.411131725;2
