Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
27748;1983;0.325509;101.271797;0.088674;1.724149;0.265188;260.308411;0.700333;46058;7287;0.291267;101.906364;0.0109;1.184116;0.445318;1527.609985;0.819439;0.479571;2.052795;0.802153;0.602458;0.272128;2
28716;2364;0.321834;98.75457;0.064571;1.616479;0.304105;251.194901;0.713057;46849;6081;0.303454;98.206596;0.015921;1.079991;0.497663;1329.758057;0.829626;0.44295;2.317647;0.601701;0.612948;0.388752;2
27259;2196;0.323219;101.328423;0.071032;1.600373;0.30571;252.609619;0.72009;48893;6279;0.315461;106.580482;0.015584;1.263628;0.402509;1354.624268;0.800073;0.441642;2.209255;0.880751;0.557524;0.349737;2
29608;2052;0.326076;94.381203;0.088362;1.438252;0.374769;172.547073;0.752967;59489;9915;0.30923;104.993141;0.007604;1.394402;0.356513;1500.363159;0.776021;0.383613;1.842011;0.815769;0.497705;0.206959;2
28447;1767;0.326414;100.125145;0.114491;1.515615;0.329946;178.560104;0.734358;45819;6480;0.305167;97.442879;0.013712;0.975152;0.528847;1291.894165;0.849237;0.421437;1.699039;0.66997;0.620856;0.272685;2
25192;3405;0.301899;103.255356;0.027305;1.366151;0.365596;418.85202;0.763161;42038;6951;0.291324;97.651924;0.010933;1.011168;0.520336;1607.120483;0.838403;0.387802;3.338235;0.632397;0.599267;0.489858;2
28964;1788;0.327654;96.269524;0.11385;1.33366;0.418198;162.322876;0.774436;42276;8244;0.256195;81.694778;0.007817;0.687433;0.677206;1370.045044;0.89378;0.349621;1.552083;0.687009;0.685117;0.216885;2
43945;3150;0.322466;91.214722;0.055654;1.207115;0.470016;151.780273;0.805078;102372;15051;0.269521;105.194359;0.005679;1.463274;0.329666;1110.41748;0.781848;0.311296;2.088859;0.709259;0.429268;0.209288;2
33857;3693;0.306318;98.381477;0.031196;1.141196;0.455322;295.501251;0.808567;89739;11937;0.286408;109.911316;0.007914;1.647411;0.212597;1199.876465;0.753684;0.320191;2.836406;0.692543;0.377283;0.309374;2
44301;3405;0.297434;84.128914;0.048016;1.119108;0.501155;141.036148;0.814528;132233;10968;0.291155;100.886917;0.013813;1.881974;0.175234;721.384521;0.703035;0.288779;2.171556;0.278371;0.335022;0.310449;3
40787;5385;0.289516;97.682869;0.017675;1.253874;0.427567;359.990814;0.790212;97715;6138;0.312879;110.303047;0.032592;1.495907;0.265903;937.977966;0.770293;0.339971;3.885281;0.417199;0.417408;0.877322;3
35065;4425;0.272341;97.128006;0.022504;1.281308;0.408164;366.481842;0.788639;79795;5973;0.307481;107.192047;0.028106;1.442134;0.288743;863.100769;0.786092;0.354966;3.506339;0.524402;0.439439;0.740834;3
38381;4002;0.309549;97.036842;0.030114;1.126959;0.45316;278.583282;0.815857;82214;13953;0.25487;103.598663;0.005307;1.254814;0.379782;1571.101929;0.811048;0.322356;2.895803;0.43068;0.466843;0.28682;3
39934;9408;0.252438;98.010071;0.00567;1.03498;0.48571;727.789978;0.831832;97357;17697;0.282292;110.120834;0.003906;1.420613;0.304986;2329.980957;0.782973;0.293309;6.365359;0.840834;0.410181;0.531616;3
41566;5277;0.283665;93.782616;0.018757;0.993329;0.520977;349.265259;0.844157;102243;20037;0.269991;108.91758;0.0032;1.312555;0.336189;1977.750732;0.801782;0.273195;3.378361;0.578103;0.406541;0.263363;3
