Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Rerata R I;Rerata G I;Rerata B I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Rerata R P;Rerata G P;Rerata B P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
25990;2559;0.298293;74.515366;0.049874;41.280342;5.594294;24.238466;0.965615;0.577522;70.442284;0.841604;29100;5613;0.240635;43.631367;0.011607;9.103367;6.910574;9.061652;0.255792;0.898224;377.034058;0.959162;0.236509;1.929864;0.282358;0.893127;0.455906;5
21530;2820;0.260496;76.780182;0.034022;40.491138;3.541857;16.469839;0.835181;0.604432;74.230865;0.877638;34283;14952;0.206145;90.463913;0.001927;49.650146;40.684055;48.199783;0.995108;0.555137;978.624573;0.839108;0.218386;2.245223;0.220349;0.628008;0.188604;5
19568;2487;0.278401;77.579163;0.039756;38.908073;2.41061;18.407223;0.771988;0.632188;79.090408;0.894149;62610;10854;0.29522;105.467415;0.006678;103.132072;82.448006;101.128059;1.65599;0.243343;634.780884;0.733003;0.201485;1.992788;0.184455;0.312538;0.229132;5
22404;2784;0.261916;80.226181;0.036324;44.261162;2.302345;25.216875;0.876309;0.580914;92.433945;0.875812;58783;9069;0.307251;100.789864;0.008981;78.295517;64.18502;77.993034;1.340576;0.361359;803.146484;0.789428;0.233892;2.248788;0.415993;0.381131;0.30698;5
20162;1977;0.29119;81.129318;0.064823;46.215595;2.236629;27.312571;0.898887;0.563621;80.761009;0.87361;42539;7791;0.274512;92.811638;0.008807;55.907555;45.141151;55.479568;1.080564;0.505421;805.848328;0.832635;0.24557;1.716146;0.465769;0.473965;0.253754;5
20734;2889;0.26115;83.834076;0.031217;48.964561;3.06303;26.932854;0.96305;0.545621;126.901588;0.862097;45507;7686;0.301907;96.252487;0.00968;63.939713;50.666542;64.592873;1.240698;0.444919;758.691467;0.801731;0.256298;2.538664;0.183914;0.455622;0.375878;5
17355;1902;0.275883;83.675659;0.060286;48.202312;2.79322;28.806662;0.936669;0.556848;85.136597;0.866779;40227;4197;0.315046;98.398018;0.028698;68.032242;54.813751;67.93013;1.204743;0.431349;561.249573;0.811813;0.250029;1.804554;0.665655;0.431427;0.453181;5
19976;2550;0.238662;85.939583;0.038605;51.060287;4.101399;24.342119;0.976393;0.5386;111.364532;0.859616;41664;10107;0.275791;98.716568;0.005125;69.899467;54.937435;68.815529;1.347339;0.411297;842.02301;0.786286;0.261295;2.305606;0.722429;0.479455;0.2523;5
22131;2019;0.29782;77.756729;0.068224;39.067619;2.026096;22.344194;0.763946;0.632842;56.357845;0.89764;66940;12090;0.297238;103.365936;0.005755;85.580063;68.866005;83.791359;1.443762;0.330256;807.900879;0.77987;0.202004;1.524925;0.282574;0.33061;0.166998;5
18799;2319;0.276038;84.446655;0.043928;52.652061;2.534185;26.951838;1.004506;0.510493;103.174606;0.855524;29815;8904;0.273024;81.378166;0.004726;37.921295;29.866682;37.890099;0.852148;0.634995;1048.047852;0.859886;0.28075;2.234104;0.504443;0.630522;0.260445;5
